"","date","count","event","semester","type","tag75","tag69","tag66","substitute_time","datetime","posix","weekday","year","semester_week"
"1",2014-09-02,1217,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-02 8:00:00",2014-09-02 08:00:00,"Tuesday",2014,1
"2",2014-09-02,1099,"No Event","Fall","Lunch"," asian bbq bulgogi sandwich; rolls; sub"," asian bbq bulgogi sandwich; sub rolls;"," asian bbq bulgogi sandwich; sub rolls;","13:00:00","2014-09-02 13:00:00",2014-09-02 13:00:00,"Tuesday",2014,1
"3",2014-09-02,1489,"No Event","Fall","Dinner"," chimichurri sauce; steak; grilled flank verde valencia; potatoes; paella mediterranean rojo"," sauce; chimichurri flank verde steak; rojo grilled"," sauce; chimichurri flank verde steak; rojo grilled","18:00:00","2014-09-02 18:00:00",2014-09-02 18:00:00,"Tuesday",2014,1
"4",2014-09-03,1231,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-03 8:00:00",2014-09-03 08:00:00,"Wednesday",2014,2
"5",2014-09-03,1171,"No Event","Fall","Lunch"," hot burger; hamburger beef all dog"," hot burger; hamburger french dog beef all"," hot burger; hamburger french dog beef all","13:00:00","2014-09-03 13:00:00",2014-09-03 13:00:00,"Wednesday",2014,2
"6",2014-09-03,1494,"No Event","Fall","Dinner"," general tso's sticky chicken; szechuan green"," green chicken; szechuan general tso's sticky"," rice; green vegetable roll; duck sauce","18:00:00","2014-09-03 18:00:00",2014-09-03 18:00:00,"Wednesday",2014,2
"7",2014-09-04,1091,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-04 8:00:00",2014-09-04 08:00:00,"Thursday",2014,2
"8",2014-09-04,1099,"No Event","Fall","Lunch"," southwestern cole sweet water potato roll; chicken;"," pulled chicken; sweet potato pork; roll; water"," pulled potato sweet chicken; water roll;","13:00:00","2014-09-04 13:00:00",2014-09-04 13:00:00,"Thursday",2014,2
"9",2014-09-04,1431,"No Event","Fall","Dinner"," cous harissa green carrot honey chicken; roasted bean and"," cous roasted harissa chicken; and honey"," cous roasted harissa chicken; and honey","18:00:00","2014-09-04 18:00:00",2014-09-04 18:00:00,"Thursday",2014,2
"10",2014-09-05,1020,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-05 8:00:00",2014-09-05 08:00:00,"Friday",2014,2
"11",2014-09-05,1034,"No Event","Fall","Lunch"," and nicoise garlic nugget veggie salad; herb cheese; seared ahi macaroni tuna breadsticks; salad"," nicoise and macaroni salad; seared nugget ahi herb tuna garlic cheese; breadsticks; veggie salad"," nicoise and macaroni salad; seared nugget ahi herb tuna garlic cheese; breadsticks; veggie salad","13:00:00","2014-09-05 13:00:00",2014-09-05 13:00:00,"Friday",2014,2
"12",2014-09-05,973,"No Event","Fall","Dinner"," squash blackened summer steamed catfish; jambalaya;"," blackened catfish; creole chicken; jambalaya; maque corn choux"," blackened catfish; creole chicken; jambalaya; maque corn choux","18:00:00","2014-09-05 18:00:00",2014-09-05 18:00:00,"Friday",2014,2
"13",2014-09-06,772,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-06 8:00:00",2014-09-06 08:00:00,"Saturday",2014,2
"14",2014-09-06,1002,"No Event","Fall","Lunch"," parmesan eggplant chicken hoagie; parmesan; kettle cod cape"," parmesan; eggplant chicken parmesan cod kettle cape"," parmesan; eggplant chicken parmesan cod kettle cape","13:00:00","2014-09-06 13:00:00",2014-09-06 13:00:00,"Saturday",2014,2
"15",2014-09-06,1089,"No Event","Fall","Dinner"," cheese quesadilla; chicken taco filling; refried beef vegetarian black beans; tostitos; olives; cream; & lettuce; sour iceberg guacamole;"," cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef"," cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef","18:00:00","2014-09-06 18:00:00",2014-09-06 18:00:00,"Saturday",2014,2
"16",2014-09-07,489,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-07 8:00:00",2014-09-07 08:00:00,"Sunday",2014,2
"17",2014-09-07,959,"No Event","Fall","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-07 13:00:00",2014-09-07 13:00:00,"Sunday",2014,2
"18",2014-09-07,1204,"No Event","Fall","Dinner"," asparagus; bourbon mashed chutney; potatoes; roast sauce roasted peaches; turkey; cider grilled cranberry of mill bbq and apple pork squash breast chop;"," of mashed roast gravy; breast roasted"," roasted of new butter; potatoes roast","18:00:00","2014-09-07 18:00:00",2014-09-07 18:00:00,"Sunday",2014,2
"19",2014-09-08,1144,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-08 8:00:00",2014-09-08 08:00:00,"Monday",2014,2
"20",2014-09-08,1026,"No Event","Fall","Lunch"," tortilla potato turkey sweet citrus aioli; arugula;"," turkey arugula; aioli; citrus burger; potato sweet roll;"," turkey arugula; aioli; citrus burger; potato sweet roll;","13:00:00","2014-09-08 13:00:00",2014-09-08 13:00:00,"Monday",2014,2
"21",2014-09-08,1545,"No Event","Fall","Dinner"," roasted sugar steamed snap rosemary chicken"," roasted rosemary flat steamed snap steak; iron sugar"," roasted steamed with broccoli rosemary red mashed","18:00:00","2014-09-08 18:00:00",2014-09-08 18:00:00,"Monday",2014,2
"22",2014-09-09,1055,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-09 8:00:00",2014-09-09 08:00:00,"Tuesday",2014,2
"23",2014-09-09,934,"No Event","Fall","Lunch"," shrimp quarter"" dip; po boy ""french"," shrimp dip; quarter"" boy ""french po"," shrimp dip; quarter"" boy ""french po","13:00:00","2014-09-09 13:00:00",2014-09-09 13:00:00,"Tuesday",2014,2
"24",2014-09-09,1452,"No Event","Fall","Dinner"," rice; crab rangoons; jasmine duck stir beef broccoli fry; with"," rice; rangoons; crab duck jasmine broccoli beef stir with fry;"," rice; rangoons; crab duck jasmine broccoli beef stir with fry;","18:00:00","2014-09-09 18:00:00",2014-09-09 18:00:00,"Tuesday",2014,2
"25",2014-09-10,1127,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-10 8:00:00",2014-09-10 08:00:00,"Wednesday",2014,3
"26",2014-09-10,1043,"No Event","Fall","Lunch"," wrap xxx vegetable turkey roasted club","other","other","13:00:00","2014-09-10 13:00:00",2014-09-10 13:00:00,"Wednesday",2014,3
"27",2014-09-10,1567,"No Event","Fall","Dinner"," hot burger; hamburger beef all dog"," hot burger; hamburger french dog beef all"," hot burger; hamburger french dog beef all","18:00:00","2014-09-10 18:00:00",2014-09-10 18:00:00,"Wednesday",2014,3
"28",2014-09-11,909,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-11 8:00:00",2014-09-11 08:00:00,"Thursday",2014,3
"29",2014-09-11,978,"No Event","Fall","Lunch"," cantina bar taco"," cantina bar taco"," cantina bar taco","13:00:00","2014-09-11 13:00:00",2014-09-11 13:00:00,"Thursday",2014,3
"30",2014-09-11,1322,"No Event","Fall","Dinner"," with basmati indian of spiced lamb citrus mint; potatoes; roast leg and"," with basmati indian spiced potatoes; mint; citrus and of leg roast lamb"," with basmati indian spiced potatoes; mint; citrus and of leg roast lamb","18:00:00","2014-09-11 18:00:00",2014-09-11 18:00:00,"Thursday",2014,3
"31",2014-09-12,933,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-12 8:00:00",2014-09-12 08:00:00,"Friday",2014,3
"32",2014-09-12,966,"No Event","Fall","Lunch"," tartar cole slaw; chop american new england"," tartar slaw; cole new england fry; fish"," tartar slaw; cole new england fry; fish","13:00:00","2014-09-12 13:00:00",2014-09-12 13:00:00,"Friday",2014,3
"33",2014-09-12,1052,"No Event","Fall","Dinner"," and roast sauce; chicken porcini in"," and porcini sauce; in chicken roast"," and sauce; in chicken roast porcini","18:00:00","2014-09-12 18:00:00",2014-09-12 18:00:00,"Friday",2014,3
"34",2014-09-13,508,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-13 8:00:00",2014-09-13 08:00:00,"Saturday",2014,3
"35",2014-09-13,915,"No Event","Fall","Lunch"," and ""dawgs spuds"""," and spuds"" ""dawgs"," and spuds"" ""dawgs","13:00:00","2014-09-13 13:00:00",2014-09-13 13:00:00,"Saturday",2014,3
"36",2014-09-13,1086,"No Event","Fall","Dinner"," chicken wings; cheese celery; blue bbq carrots; honey buffalo"," chicken wings; cheese buffalo philly cheesesteak beef;"," chicken wings; cheese buffalo philly cheesesteak beef;","18:00:00","2014-09-13 18:00:00",2014-09-13 18:00:00,"Saturday",2014,3
"37",2014-09-14,384,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-14 8:00:00",2014-09-14 08:00:00,"Sunday",2014,3
"38",2014-09-14,929,"No Event","Fall","Lunch"," sauce; free cage sausage wheat sweet french cheese link; meatballs; bolognese and herb eggs; toast; garlic pancake uncured manicotti; breadsticks; marinara whole scrambled italian"," sauce; free cage and cheese toast; sweet eggs; scrambled manicotti; french pancake uncured"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-14 13:00:00",2014-09-14 13:00:00,"Sunday",2014,3
"39",2014-09-14,1232,"No Event","Fall","Dinner"," potato arctic ribs; short scalloped char beef roasted ale sprouts; braised cranberry with vinaigrette;"," roasted scalloped potato braised beef ale short ribs;"," roasted scalloped potato braised beef ale short ribs;","18:00:00","2014-09-14 18:00:00",2014-09-14 18:00:00,"Sunday",2014,3
"40",2014-09-15,1055,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-15 8:00:00",2014-09-15 08:00:00,"Monday",2014,3
"41",2014-09-15,1046,"No Event","Fall","Lunch"," sandwich; charlie's steak chicken seeded steakhouse"," sausage patty; chicken sandwich; (no mccharlie sausage); tater egg"," sausage patty; chicken sandwich; (no mccharlie sausage); tater egg","13:00:00","2014-09-15 13:00:00",2014-09-15 13:00:00,"Monday",2014,3
"42",2014-09-15,1552,"No Event","Fall","Dinner"," tortilla; corn fajita filling; chicken with"," tortilla; corn fajita filling; chicken with"," tortilla; filling; fajita corn chicken black","18:00:00","2014-09-15 18:00:00",2014-09-15 18:00:00,"Monday",2014,3
"43",2014-09-16,970,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-16 8:00:00",2014-09-16 08:00:00,"Tuesday",2014,3
"44",2014-09-16,1014,"No Event","Fall","Lunch"," grilled sandwich; basil portabella aioli mozz chicken w/fresh"," grilled sandwich; mozz portabella w/fresh chicken aioli basil"," grilled sandwich; mozz portabella w/fresh chicken aioli basil","13:00:00","2014-09-16 13:00:00",2014-09-16 13:00:00,"Tuesday",2014,3
"45",2014-09-16,1503,"No Event","Fall","Dinner"," roasted southern tips mushrooms; red sirloin fried mashed with"," roasted with steamed broccoli mashed red"," roasted steamed with broccoli rosemary red mashed","18:00:00","2014-09-16 18:00:00",2014-09-16 18:00:00,"Tuesday",2014,3
"46",2014-09-17,1072,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-17 8:00:00",2014-09-17 08:00:00,"Wednesday",2014,4
"47",2014-09-17,1042,"No Event","Fall","Lunch"," sausage patty; sausage); egg (no mccharlie tater chicken"," sausage patty; chicken sandwich; (no mccharlie sausage); tater egg"," sausage patty; chicken sandwich; (no mccharlie sausage); tater egg","13:00:00","2014-09-17 13:00:00",2014-09-17 13:00:00,"Wednesday",2014,4
"48",2014-09-17,1424,"No Event","Fall","Dinner"," steamed short kalbi fried chicken; breast teriyaki ribs; beef of"," steamed short breast of fried ribs; kalbi beef chicken; teriyaki"," steamed short breast of fried ribs; kalbi beef chicken; teriyaki","18:00:00","2014-09-17 18:00:00",2014-09-17 18:00:00,"Wednesday",2014,4
"49",2014-09-18,670,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-18 8:00:00",2014-09-18 08:00:00,"Thursday",2014,4
"50",2014-09-18,980,"No Event","Fall","Lunch"," sauce; cheese peas marinara alfredo steamed bolognese"," sauce; cheese alfredo peas marinara bolognese steamed"," sauce; cheese marinara steamed alfredo peas bolognese","13:00:00","2014-09-18 13:00:00",2014-09-18 13:00:00,"Thursday",2014,4
"51",2014-09-18,1343,"No Event","Fall","Dinner"," cheese pierogi & potato and apples w/"," cheese potato w/ apples pierogi &"," cheese & potato pierogi apples w/","18:00:00","2014-09-18 18:00:00",2014-09-18 18:00:00,"Thursday",2014,4
"52",2014-09-19,929,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-19 8:00:00",2014-09-19 08:00:00,"Friday",2014,4
"53",2014-09-19,907,"No Event","Fall","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-19 13:00:00",2014-09-19 13:00:00,"Friday",2014,4
"54",2014-09-19,1184,"No Event","Fall","Dinner"," hot burger; hamburger beef all dog"," hot burger; hamburger french dog beef all"," hot burger; hamburger french dog beef all","18:00:00","2014-09-19 18:00:00",2014-09-19 18:00:00,"Friday",2014,4
"55",2014-09-20,606,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-20 8:00:00",2014-09-20 08:00:00,"Saturday",2014,4
"56",2014-09-20,816,"No Event","Fall","Lunch"," hamburger xxx bun; breakfast waffle chicken buffalo free fries; cage sub; breast; scrambled bacon; uncured pork meatball"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-20 13:00:00",2014-09-20 13:00:00,"Saturday",2014,4
"57",2014-09-20,1013,"No Event","Fall","Dinner"," grilled and vermont tomato; cheddar cheese;"," grilled and cheese; tomato; vermont cheddar"," grilled and cheese; tomato; vermont cheddar","18:00:00","2014-09-20 18:00:00",2014-09-20 18:00:00,"Saturday",2014,4
"58",2014-09-21,370,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-21 8:00:00",2014-09-21 08:00:00,"Sunday",2014,4
"59",2014-09-21,844,"No Event","Fall","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-21 13:00:00",2014-09-21 13:00:00,"Sunday",2014,4
"60",2014-09-21,1086,"No Event","Fall","Dinner"," new roasted in butter; potatoes parsley beets;"," new roasted in parsley butter; beets; potatoes"," roasted of new butter; potatoes roast","18:00:00","2014-09-21 18:00:00",2014-09-21 18:00:00,"Sunday",2014,4
"61",2014-09-22,1057,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-22 8:00:00",2014-09-22 08:00:00,"Monday",2014,4
"62",2014-09-22,955,"No Event","Fall","Lunch"," gyro; olives; cheese; feta tzatziki kalamata lettuce; iceberg pita bread;"," gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita"," gyro; iceberg olives; feta tzatziki cheese; lettuce; bread; kalamata pita","13:00:00","2014-09-22 13:00:00",2014-09-22 13:00:00,"Monday",2014,4
"63",2014-09-22,1495,"No Event","Fall","Dinner"," bbq chicken; pork corn spare smoky ribs; mountain"," bbq pork chicken; spare corn and"," bbq pork chicken; spare corn and","18:00:00","2014-09-22 18:00:00",2014-09-22 18:00:00,"Monday",2014,4
"64",2014-09-23,944,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-23 8:00:00",2014-09-23 08:00:00,"Tuesday",2014,4
"65",2014-09-23,885,"No Event","Fall","Lunch"," xxx arugula hummus, and with chicken moz grilled arugula, fontina; & fresh"," xxx moz with fontina; hummus, arugula, chicken grilled fresh arugula and &"," xxx moz with fontina; hummus, arugula, chicken grilled fresh arugula and &","13:00:00","2014-09-23 13:00:00",2014-09-23 13:00:00,"Tuesday",2014,4
"66",2014-09-23,1390,"No Event","Fall","Dinner"," rice; chicken vegetable curry; spring duck and green roll; jasmine vegetables; scallion emerald"," rice; emerald vegetables; scallion roll; and vegetable curry; jasmine duck spring green chicken"," rice; green vegetable roll; duck sauce","18:00:00","2014-09-23 18:00:00",2014-09-23 18:00:00,"Tuesday",2014,4
"67",2014-09-24,1039,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-24 8:00:00",2014-09-24 08:00:00,"Wednesday",2014,5
"68",2014-09-24,924,"No Event","Fall","Lunch"," torta; chicken mole cuban corn blue tortilla"," torta; chicken mole cuban corn tortilla blue"," torta; chicken mole cuban corn tortilla blue","13:00:00","2014-09-24 13:00:00",2014-09-24 13:00:00,"Wednesday",2014,5
"69",2014-09-24,1467,"No Event","Fall","Dinner"," lasagna zucchini red al and with eggplant"," lasagna al zucchini and chicken forno; marsala;"," lasagna al zucchini and chicken forno;","18:00:00","2014-09-24 18:00:00",2014-09-24 18:00:00,"Wednesday",2014,5
"70",2014-09-25,849,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-25 8:00:00",2014-09-25 08:00:00,"Thursday",2014,5
"71",2014-09-25,1033,"No Event","Fall","Lunch"," wrap - xxx val buffalo burger chicken"," - wrap xxx burger val buffalo chicken"," - wrap xxx burger val buffalo chicken","13:00:00","2014-09-25 13:00:00",2014-09-25 13:00:00,"Thursday",2014,5
"72",2014-09-25,1278,"No Event","Fall","Dinner"," honey of potatoes; steamed roasted lamb apples; lavender with leg chicken; and roast cider beans green mashed"," mashed potatoes; steamed roast chicken; leg cider of with beans apples; and lamb roasted green lavender honey"," mashed potatoes; steamed roast chicken; leg cider of with beans apples; and lamb roasted green lavender honey","18:00:00","2014-09-25 18:00:00",2014-09-25 18:00:00,"Thursday",2014,5
"73",2014-09-26,882,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-26 8:00:00",2014-09-26 08:00:00,"Friday",2014,5
"74",2014-09-26,784,"No Event","Fall","Lunch"," fried green catfish sweet potato hoagie; tomato tortilla sandwich;"," fried tomato sweet potato green sandwich; catfish hoagie; tortilla"," fried tomato green sandwich; hoagie; catfish tortilla sweet potato","13:00:00","2014-09-26 13:00:00",2014-09-26 13:00:00,"Friday",2014,5
"75",2014-09-26,786,"No Event","Fall","Dinner"," steamed rice bison chili; turkey carrots;"," steamed bison rice chili; turkey carrots;"," steamed rice bison turkey chili; carrots;","18:00:00","2014-09-26 18:00:00",2014-09-26 18:00:00,"Friday",2014,5
"76",2014-09-27,571,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-27 8:00:00",2014-09-27 08:00:00,"Saturday",2014,5
"77",2014-09-27,838,"No Event","Fall","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-27 13:00:00",2014-09-27 13:00:00,"Saturday",2014,5
"78",2014-09-27,838,"No Event","Fall","Dinner"," bar noodle"," bar noodle"," bar noodle","18:00:00","2014-09-27 18:00:00",2014-09-27 18:00:00,"Saturday",2014,5
"79",2014-09-28,452,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-28 8:00:00",2014-09-28 08:00:00,"Sunday",2014,5
"80",2014-09-28,769,"No Event","Fall","Lunch"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","13:00:00","2014-09-28 13:00:00",2014-09-28 13:00:00,"Sunday",2014,5
"81",2014-09-28,1268,"No Event","Fall","Dinner"," salmon; delmonico of seasonal vegetables; gratin"," delmonico salmon; seasonal gratin of vegetables;"," delmonico salmon; seasonal gratin of vegetables;","18:00:00","2014-09-28 18:00:00",2014-09-28 18:00:00,"Sunday",2014,5
"82",2014-09-29,1042,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-29 8:00:00",2014-09-29 08:00:00,"Monday",2014,5
"83",2014-09-29,918,"No Event","Fall","Lunch"," garlic herb steamed and chicken broccoli"," chicken herb and broccoli steamed garlic"," chicken herb and broccoli steamed garlic","13:00:00","2014-09-29 13:00:00",2014-09-29 13:00:00,"Monday",2014,5
"84",2014-09-29,1453,"No Event","Fall","Dinner"," tortilla; corn fajita filling; chicken with"," tortilla; corn fajita filling; chicken with"," tortilla; filling; fajita corn chicken black","18:00:00","2014-09-29 18:00:00",2014-09-29 18:00:00,"Monday",2014,5
"85",2014-09-30,939,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-09-30 8:00:00",2014-09-30 08:00:00,"Tuesday",2014,5
"86",2014-09-30,891,"No Event","Fall","Lunch"," asian bbq bulgogi sandwich; rolls; sub"," asian bbq bulgogi sandwich; sub rolls;"," asian bbq bulgogi sandwich; sub rolls;","13:00:00","2014-09-30 13:00:00",2014-09-30 13:00:00,"Tuesday",2014,5
"87",2014-09-30,1478,"No Event","Fall","Dinner"," chimichurri sauce; steak; grilled flank verde valencia; potatoes; paella mediterranean rojo"," sauce; chimichurri flank verde steak; rojo grilled"," sauce; chimichurri flank verde steak; rojo grilled","18:00:00","2014-09-30 18:00:00",2014-09-30 18:00:00,"Tuesday",2014,5
"88",2014-10-01,1019,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-10-01 8:00:00",2014-10-01 08:00:00,"Wednesday",2014,6
"89",2014-10-01,1022,"No Event","Fall","Lunch"," hot burger; hamburger beef all dog"," hot burger; hamburger french dog beef all"," hot burger; hamburger french dog beef all","13:00:00","2014-10-01 13:00:00",2014-10-01 13:00:00,"Wednesday",2014,6
"90",2014-10-01,1428,"No Event","Fall","Dinner"," general tso's sticky chicken; szechuan green"," green chicken; szechuan general tso's sticky"," rice; green vegetable roll; duck sauce","18:00:00","2014-10-01 18:00:00",2014-10-01 18:00:00,"Wednesday",2014,6
"91",2014-10-02,848,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-10-02 8:00:00",2014-10-02 08:00:00,"Thursday",2014,6
"92",2014-10-02,958,"No Event","Fall","Lunch"," southwestern cole sweet water potato roll; chicken;"," pulled chicken; sweet potato pork; roll; water"," pulled potato sweet chicken; water roll;","13:00:00","2014-10-02 13:00:00",2014-10-02 13:00:00,"Thursday",2014,6
"93",2014-10-02,1322,"No Event","Fall","Dinner"," cous harissa green carrot honey chicken; roasted bean and"," cous roasted harissa chicken; and honey"," cous roasted harissa chicken; and honey","18:00:00","2014-10-02 18:00:00",2014-10-02 18:00:00,"Thursday",2014,6
"94",2014-10-03,896,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-10-03 8:00:00",2014-10-03 08:00:00,"Friday",2014,6
"95",2014-10-03,876,"No Event","Fall","Lunch"," and nicoise garlic nugget veggie salad; herb cheese; seared ahi macaroni tuna breadsticks; salad"," nicoise and macaroni salad; seared nugget ahi herb tuna garlic cheese; breadsticks; veggie salad"," nicoise and macaroni salad; seared nugget ahi herb tuna garlic cheese; breadsticks; veggie salad","13:00:00","2014-10-03 13:00:00",2014-10-03 13:00:00,"Friday",2014,6
"96",2014-10-03,936,"No Event","Fall","Dinner"," squash blackened summer steamed catfish; jambalaya;"," blackened catfish; creole chicken; jambalaya; maque corn choux"," blackened catfish; creole chicken; jambalaya; maque corn choux","18:00:00","2014-10-03 18:00:00",2014-10-03 18:00:00,"Friday",2014,6
"97",2014-10-04,478,"No Event","Fall","Breakfast"," free cage egg; scrambled hard boiled bacon;"," cage free egg; scrambled bacon; hard boiled"," free cage egg; scrambled bacon; boiled hard","8:00:00","2014-10-04 8:00:00",2014-10-04 08:00:00,"Saturday",2014,6
"98",2014-10-04,898,"No Event","Fall","Lunch"," parmesan eggplant chicken hoagie; parmesan; kettle cod cape"," parmesan; eggplant chicken parmesan cod kettle cape"," parmesan; eggplant chicken parmesan cod kettle cape","13:00:00","2014-10-04 13:00:00",2014-10-04 13:00:00,"Saturday",2014,6
"99",2014-10-04,943,"No Event","Fall","Dinner"," cheese quesadilla; chicken taco filling; refried beef vegetarian black beans; tostitos; olives; cream; & lettuce; sour iceberg guacamole;"," cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef"," cheese quesadilla; chicken taco filling; iceberg lettuce; tostitos; sour black cream; corn beef","18:00:00","2014-10-04 18:00:00",2014-10-04 18:00:00,"Saturday",2014,6
